                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6357,                 3.5106,                 1.5103,                0.01333,                0.47059,                0.01043,                0.00346,                 1.2155,                 3.4633,                 1.2257,                      0,                      0,                      0
                      2,                 1.7993,                 3.4326,                 1.6609,                0.01333,                0.47059,                0.01073,                0.00355,                 1.2067,                 3.4534,                 1.2184,             1.9802e-05,             1.9802e-05,             1.9802e-05
                      3,                 1.7893,                 3.4566,                 1.5328,                  0.015,                0.52941,                0.01233,                0.00547,                 1.2209,                 3.4451,                 1.2113,             3.9208e-05,             3.9208e-05,             3.9208e-05
                      4,                 1.6716,                 3.4853,                 1.4828,                0.01667,                0.58824,                0.01445,                 0.0079,                  1.214,                 3.4228,                 1.1857,             5.8218e-05,             5.8218e-05,             5.8218e-05
                      5,                 1.5239,                 3.4018,                 1.4482,                  0.015,                0.52941,                0.01716,                0.01079,                 1.1605,                 3.3979,                 1.1565,             7.6832e-05,             7.6832e-05,             7.6832e-05
                      6,                 1.3319,                 3.2754,                 1.3064,                0.01667,                0.58824,                0.03241,                0.02357,                 1.1516,                 3.3893,                 1.1483,              9.505e-05,              9.505e-05,              9.505e-05
                      7,                 1.4193,                 3.1877,                 1.5114,                0.01667,                0.58824,                0.04267,                0.03112,                 1.1385,                 3.3792,                  1.135,             0.00011287,             0.00011287,             0.00011287
                      8,                 1.1652,                 2.8574,                 1.2546,                0.01667,                0.58824,                0.04527,                0.03328,                 1.1778,                 3.3242,                 1.1232,              0.0001303,              0.0001303,              0.0001303
                      9,                 1.1163,                 2.7925,                 1.1718,                0.01667,                0.58824,                0.04563,                 0.0338,                 1.1708,                 3.3117,                 1.1157,             0.00014733,             0.00014733,             0.00014733
                     10,                 1.4624,                 2.7989,                 1.3408,                0.01667,                0.58824,                0.04784,                0.03121,                 1.2057,                 3.2918,                 1.1248,             0.00016396,             0.00016396,             0.00016396
                     11,                 1.1696,                 2.3023,                 1.2049,                0.02333,                0.82353,                0.08533,                0.05466,                 1.2386,                 3.2553,                 1.1288,              0.0001802,              0.0001802,              0.0001802
                     12,                 1.0785,                 2.1207,                 1.1472,                0.02333,                0.82353,                0.09409,                0.06264,                 1.2362,                 3.2012,                 1.1305,             0.00019604,             0.00019604,             0.00019604
                     13,                 1.2798,                 2.2532,                 1.2267,                0.01537,                0.29412,                0.10023,                0.07031,                  1.236,                  3.153,                 1.1314,             0.00021149,             0.00021149,             0.00021149
                     14,                 1.4312,                 1.8216,                 1.3172,                0.28552,                0.11765,                0.13106,                0.08629,                 1.2673,                 3.1022,                 1.1371,             0.00022654,             0.00022654,             0.00022654
                     15,                 1.0409,                 1.6869,                 1.1408,                      1,                0.10513,                0.17417,                0.11732,                  1.294,                 3.0486,                 1.1455,             0.00024119,             0.00024119,             0.00024119
                     16,                 1.2656,                 1.6708,                 1.1535,                      1,                 0.1014,                0.19375,                0.11701,                 1.3033,                   3.02,                 1.1444,             0.00025545,             0.00025545,             0.00025545
                     17,                 1.0696,                 1.4504,                 1.0819,                      1,                0.10655,                 0.1982,                0.12056,                 1.2871,                 3.0323,                 1.1344,             0.00026931,             0.00026931,             0.00026931
                     18,                 1.2259,                 1.6019,                 1.1277,                      1,                0.10655,                 0.1982,                0.12056,                 1.2871,                 3.0323,                 1.1344,             0.00028278,             0.00028278,             0.00028278
                     19,                0.97872,                 2.2031,                 1.1336,                 0.5303,                0.17647,                0.18746,                0.10923,                 1.3127,                 3.1169,                 1.1543,             0.00029585,             0.00029585,             0.00029585
                     20,                 1.0872,                 1.4453,                 1.0734,                 0.5303,                0.17647,                0.18746,                0.10923,                 1.3127,                 3.1169,                 1.1543,             0.00030852,             0.00030852,             0.00030852
                     21,                0.96577,                 1.6008,                 1.0622,                0.02167,                0.76471,                0.18381,                0.08614,                 1.3723,                 3.1423,                 1.1675,              0.0003208,              0.0003208,              0.0003208
                     22,                 1.1906,                 1.4616,                 1.0837,                0.02167,                0.76471,                0.18381,                0.08614,                 1.3723,                 3.1423,                 1.1675,             0.00033268,             0.00033268,             0.00033268
                     23,                 1.1182,                 1.3219,                  1.064,                   0.02,                0.70588,                0.16911,                0.07047,                 1.4172,                 3.2189,                 1.2022,             0.00034417,             0.00034417,             0.00034417
                     24,                0.99293,                 1.2462,                  1.028,                   0.02,                0.70588,                0.16911,                0.07047,                 1.4172,                 3.2189,                 1.2022,             0.00035526,             0.00035526,             0.00035526
                     25,                 1.0966,                 1.3211,                 1.0993,                0.01833,                0.64706,                0.12951,                0.06192,                 1.4417,                 3.2988,                 1.2194,             0.00036595,             0.00036595,             0.00036595
                     26,                 1.0661,                 1.6569,                 1.1049,                0.01833,                0.64706,                0.12951,                0.06192,                 1.4417,                 3.2988,                 1.2194,             0.00037625,             0.00037625,             0.00037625
                     27,                 1.1049,                 1.4619,                  1.233,                0.01667,                0.58824,                0.11032,                 0.0609,                  1.454,                 3.3828,                 1.2745,             0.00038615,             0.00038615,             0.00038615
